,Date,SKU_Category,Quantity,Sales_Amount,item_price,day,month,price
11662,2016-09-29,R6E,16.0,141.95,8.061153846153847,29.0,9.0,8.871875
11677,2016-09-30,29A,11.0,60.62,6.609523809523809,30.0,9.0,5.510909090909091
11686,2016-09-30,FEW,12.0,101.41,8.450833333333334,30.0,9.0,8.450833333333334
11701,2016-09-30,N8U,43.0,191.72,4.602073170731708,30.0,9.0,4.458604651162791
11709,2016-09-30,R6E,30.0,163.34,5.340060606060606,30.0,9.0,5.4446666666666665
11723,2016-10-01,29A,5.0,33.95,6.790000000000001,1.0,10.0,6.790000000000001
11728,2016-10-01,FEW,11.0,78.92999999999999,7.340999999999999,1.0,10.0,7.175454545454545
11741,2016-10-01,N8U,27.0,113.91,4.262,1.0,10.0,4.2188888888888885
11746,2016-10-01,R6E,14.0,39.49,2.834545454545454,1.0,10.0,2.8207142857142857
11756,2016-10-02,29A,10.0,51.589999999999996,5.2988888888888885,2.0,10.0,5.159
11764,2016-10-02,FEW,4.0,42.91,10.7275,2.0,10.0,10.7275
11778,2016-10-02,N8U,31.0,108.25,3.9007246376811584,2.0,10.0,3.4919354838709675
11786,2016-10-02,R6E,14.0,62.19,4.828055555555555,2.0,10.0,4.442142857142857
11800,2016-10-03,29A,18.0,123.27,7.271538461538461,3.0,10.0,6.848333333333333
11809,2016-10-03,FEW,6.0,77.17,11.971,3.0,10.0,12.861666666666666
11823,2016-10-03,N8U,33.0,116.63,3.6491954022988495,3.0,10.0,3.534242424242424
11831,2016-10-03,R6E,28.0,140.83,5.133933333333333,3.0,10.0,5.029642857142858
11845,2016-10-04,29A,1.0,2.75,2.75,4.0,10.0,2.75
11851,2016-10-04,FEW,3.0,24.689999999999998,8.23,4.0,10.0,8.229999999999999
11862,2016-10-04,N8U,17.0,74.11,4.4,4.0,10.0,4.359411764705882
11868,2016-10-04,R6E,18.0,117.71,7.0806249999999995,4.0,10.0,6.539444444444444
11882,2016-10-05,29A,12.0,61.730000000000004,5.387272727272727,5.0,10.0,5.144166666666667
11890,2016-10-05,FEW,12.0,116.80000000000001,9.868181818181819,5.0,10.0,9.733333333333334
11905,2016-10-05,N8U,28.0,110.17,4.072399999999999,5.0,10.0,3.9346428571428573
11912,2016-10-05,R6E,25.0,123.96,5.402857142857143,5.0,10.0,4.9584
11927,2016-10-06,29A,18.0,137.35,7.85,6.0,10.0,7.6305555555555555
11936,2016-10-06,FEW,15.0,136.13,9.075333333333335,6.0,10.0,9.075333333333333
11950,2016-10-06,N8U,37.0,158.34,4.5248484848484845,6.0,10.0,4.27945945945946
11958,2016-10-06,R6E,26.0,174.38,6.587826086956523,6.0,10.0,6.7069230769230765
11973,2016-10-07,29A,7.0,23.96,3.958666666666667,7.0,10.0,3.422857142857143
11978,2016-10-07,FEW,12.0,137.07,11.90318181818182,7.0,10.0,11.4225
11992,2016-10-07,N8U,17.0,83.67,4.921764705882352,7.0,10.0,4.921764705882353
12000,2016-10-07,R6E,11.0,79.14,8.4609375,7.0,10.0,7.194545454545454
12015,2016-10-08,29A,7.0,35.74,6.314666666666666,8.0,10.0,5.105714285714286
12024,2016-10-08,FEW,10.0,101.28,10.128,8.0,10.0,10.128
12038,2016-10-08,N8U,25.0,103.72,4.281547619047619,8.0,10.0,4.1488
12046,2016-10-08,R6E,12.0,62.9,5.371363636363637,8.0,10.0,5.241666666666666
12060,2016-10-09,29A,5.0,44.480000000000004,8.895999999999999,9.0,10.0,8.896
12068,2016-10-09,FEW,11.0,88.03999999999999,8.003636363636362,9.0,10.0,8.003636363636362
12082,2016-10-09,N8U,36.0,154.59,4.516515151515152,9.0,10.0,4.2941666666666665
12090,2016-10-09,R6E,12.0,69.88,6.1877272727272725,9.0,10.0,5.823333333333333
12105,2016-10-10,29A,12.0,80.73,7.168636363636364,10.0,10.0,6.7275
12114,2016-10-10,FEW,8.0,60.93,7.616249999999999,10.0,10.0,7.61625
12128,2016-10-10,N8U,54.0,188.35,3.795592592592593,10.0,10.0,3.4879629629629627
12136,2016-10-10,R6E,21.0,164.98,8.08325,10.0,10.0,7.856190476190475
12151,2016-10-11,29A,10.0,78.57000000000001,7.65625,11.0,10.0,7.857000000000001
12160,2016-10-11,FEW,14.0,139.81,9.705769230769231,11.0,10.0,9.986428571428572
12175,2016-10-11,N8U,39.0,148.21,3.962828282828283,11.0,10.0,3.8002564102564103
12182,2016-10-11,R6E,21.0,153.81,7.324285714285716,11.0,10.0,7.324285714285715
12197,2016-10-12,29A,9.0,62.32,8.283809523809524,12.0,10.0,6.924444444444444
12205,2016-10-12,FEW,12.0,147.75,12.502222222222223,12.0,10.0,12.3125
12219,2016-10-12,N8U,44.0,195.86,4.5040697674418615,12.0,10.0,4.451363636363637
12226,2016-10-12,R6E,28.0,195.83,7.2775,12.0,10.0,6.9939285714285715
12240,2016-10-13,29A,10.0,77.68,7.768000000000001,13.0,10.0,7.768000000000001
12249,2016-10-13,FEW,6.0,45.83,7.638333333333332,13.0,10.0,7.638333333333333
12264,2016-10-13,N8U,37.0,138.76,3.915530303030303,13.0,10.0,3.75027027027027
12272,2016-10-13,R6E,8.0,45.42,5.815714285714286,13.0,10.0,5.6775
12285,2016-10-14,29A,13.0,51.4,4.785925925925926,14.0,10.0,3.9538461538461536
12294,2016-10-14,FEW,8.0,80.03999999999999,10.004999999999999,14.0,10.0,10.004999999999999
12309,2016-10-14,N8U,53.0,223.52,4.247843137254901,14.0,10.0,4.2173584905660375
12317,2016-10-14,R6E,21.0,220.42,10.8365,14.0,10.0,10.496190476190476
12331,2016-10-15,29A,8.0,41.57,5.402857142857143,15.0,10.0,5.19625
12340,2016-10-15,FEW,11.0,141.92,12.901818181818184,15.0,10.0,12.90181818181818
12353,2016-10-15,N8U,35.0,132.04,4.023777777777777,15.0,10.0,3.7725714285714282
12359,2016-10-15,R6E,22.0,127.78999999999999,5.8086363636363645,15.0,10.0,5.808636363636364
12371,2016-10-16,29A,9.0,47.46,6.1847619047619045,16.0,10.0,5.273333333333333
12379,2016-10-16,FEW,6.0,63.98,10.663333333333334,16.0,10.0,10.663333333333332
12392,2016-10-16,N8U,22.0,87.2,4.068095238095237,16.0,10.0,3.963636363636364
12397,2016-10-16,R6E,16.0,108.78,6.79875,16.0,10.0,6.79875
12408,2016-10-17,29A,16.0,105.75,6.946,17.0,10.0,6.609375
12417,2016-10-17,FEW,14.0,152.29,10.877857142857142,17.0,10.0,10.877857142857142
12432,2016-10-17,N8U,36.0,133.55,4.027204301075269,17.0,10.0,3.7097222222222226
12440,2016-10-17,R6E,24.0,141.91,5.912916666666667,17.0,10.0,5.912916666666667
12455,2016-10-18,29A,4.0,26.939999999999998,6.734999999999999,18.0,10.0,6.734999999999999
12464,2016-10-18,FEW,6.0,77.65,12.941666666666668,18.0,10.0,12.941666666666668
12477,2016-10-18,N8U,29.0,124.57,4.39962962962963,18.0,10.0,4.29551724137931
12485,2016-10-18,R6E,11.0,95.99,8.726363636363637,18.0,10.0,8.726363636363637
12500,2016-10-19,29A,9.0,54.17,6.018888888888889,19.0,10.0,6.018888888888889
12509,2016-10-19,FEW,11.0,124.3,11.299999999999999,19.0,10.0,11.299999999999999
12524,2016-10-19,N8U,39.0,162.83,4.671612903225805,19.0,10.0,4.175128205128205
12532,2016-10-19,R6E,18.0,119.19,6.621666666666667,19.0,10.0,6.621666666666666
12547,2016-10-20,29A,8.0,41.81,5.437142857142858,20.0,10.0,5.22625
12556,2016-10-20,FEW,5.0,65.92,13.184000000000001,20.0,10.0,13.184000000000001
12571,2016-10-20,N8U,41.0,167.12,4.26891891891892,20.0,10.0,4.07609756097561
12579,2016-10-20,R6E,25.0,150.16,6.336521739130435,20.0,10.0,6.0064
12594,2016-10-21,29A,15.0,77.09,6.25060606060606,21.0,10.0,5.139333333333334
12603,2016-10-21,FEW,12.0,124.02,10.763181818181819,21.0,10.0,10.334999999999999
12617,2016-10-21,N8U,42.0,150.38,4.0053809523809525,21.0,10.0,3.5804761904761904
12624,2016-10-21,R6E,13.0,87.6,6.992499999999999,21.0,10.0,6.738461538461538
12639,2016-10-22,29A,14.0,67.23,5.255277777777779,22.0,10.0,4.802142857142857
12647,2016-10-22,FEW,9.0,79.8,8.866666666666667,22.0,10.0,8.866666666666667
12661,2016-10-22,N8U,33.0,156.78,4.871034482758621,22.0,10.0,4.750909090909091
12669,2016-10-22,R6E,28.0,210.32,8.0558,22.0,10.0,7.511428571428572
12683,2016-10-23,29A,14.0,61.58,5.324666666666666,23.0,10.0,4.398571428571429
12689,2016-10-23,FEW,5.0,56.989999999999995,11.60625,23.0,10.0,11.398
12698,2016-10-23,N8U,27.0,111.44,4.021041666666666,23.0,10.0,4.127407407407407
12705,2016-10-23,R6E,23.0,122.08,5.307826086956522,23.0,10.0,5.3078260869565215
12718,2016-10-24,29A,15.0,95.52,6.718846153846153,24.0,10.0,6.367999999999999
12727,2016-10-24,FEW,7.0,93.19999999999999,13.314285714285713,24.0,10.0,13.314285714285713
12741,2016-10-24,N8U,46.0,154.69,3.4739316239316236,24.0,10.0,3.3628260869565216
12749,2016-10-24,R6E,20.0,159.45,7.972499999999999,24.0,10.0,7.972499999999999
12764,2016-10-25,29A,13.0,52.48,5.021481481481482,25.0,10.0,4.036923076923077
12773,2016-10-25,FEW,10.0,92.26,9.226000000000003,25.0,10.0,9.226
12787,2016-10-25,N8U,31.0,115.98,3.9992307692307696,25.0,10.0,3.741290322580645
12795,2016-10-25,R6E,18.0,79.91,4.5428125,25.0,10.0,4.439444444444444
12809,2016-10-26,29A,6.0,31.06,5.176666666666667,26.0,10.0,5.176666666666667
12818,2016-10-26,FEW,9.0,97.67999999999999,10.845625,26.0,10.0,10.853333333333332
12833,2016-10-26,N8U,35.0,145.14,4.063939393939394,26.0,10.0,4.146857142857143
12840,2016-10-26,R6E,16.0,87.6,5.475,26.0,10.0,5.475
12855,2016-10-27,29A,16.0,85.58,6.393194444444444,27.0,10.0,5.34875
12864,2016-10-27,FEW,10.0,94.82,9.482,27.0,10.0,9.482
12879,2016-10-27,N8U,32.0,154.74,4.88741935483871,27.0,10.0,4.835625
12887,2016-10-27,R6E,22.0,153.69,7.14357142857143,27.0,10.0,6.98590909090909
12902,2016-10-28,29A,7.0,53.339999999999996,7.619999999999999,28.0,10.0,7.619999999999999
12911,2016-10-28,FEW,2.0,17.67,8.835,28.0,10.0,8.835
12926,2016-10-28,N8U,27.0,157.82,5.213739130434783,28.0,10.0,5.845185185185185
12934,2016-10-28,R6E,9.0,35.61,3.9566666666666666,28.0,10.0,3.9566666666666666
12948,2016-10-29,29A,6.0,41.19,6.864999999999999,29.0,10.0,6.864999999999999
12957,2016-10-29,FEW,2.0,17.9,8.95,29.0,10.0,8.95
12969,2016-10-29,N8U,26.0,103.27,4.082173913043477,29.0,10.0,3.9719230769230767
12977,2016-10-29,R6E,9.0,63.480000000000004,8.460952380952381,29.0,10.0,7.053333333333334
12989,2016-10-30,29A,2.0,9.2,4.6,30.0,10.0,4.6
12996,2016-10-30,FEW,1.0,12.62,12.62,30.0,10.0,12.62
13006,2016-10-30,N8U,27.0,98.13,3.8343478260869563,30.0,10.0,3.634444444444444
13012,2016-10-30,R6E,3.0,9.9,3.3000000000000003,30.0,10.0,3.3000000000000003
13026,2016-10-31,29A,16.0,108.13,7.344285714285715,31.0,10.0,6.758125
13035,2016-10-31,FEW,9.0,74.29,8.254444444444445,31.0,10.0,8.254444444444445
13050,2016-10-31,N8U,31.0,105.62,3.832788461538461,31.0,10.0,3.4070967741935485
13057,2016-10-31,R6E,15.0,124.8,8.726785714285715,31.0,10.0,8.32
13071,2016-11-01,29A,8.0,66.69,8.33625,1.0,11.0,8.33625
13080,2016-11-01,FEW,10.0,101.5,10.15,1.0,11.0,10.15
13094,2016-11-01,N8U,43.0,160.42,3.809694444444446,1.0,11.0,3.7306976744186042
13101,2016-11-01,R6E,21.0,112.66,6.773589743589743,1.0,11.0,5.364761904761904
13115,2016-11-02,29A,16.0,98.91,6.1400000000000015,2.0,11.0,6.181875
13124,2016-11-02,FEW,9.0,74.5,8.691875,2.0,11.0,8.277777777777779
13139,2016-11-02,N8U,40.0,164.81,4.223888888888889,2.0,11.0,4.12025
13147,2016-11-02,R6E,16.0,116.53,7.283125,2.0,11.0,7.283125
13162,2016-11-03,29A,14.0,72.98,5.889333333333333,3.0,11.0,5.2128571428571435
13171,2016-11-03,FEW,13.0,134.36,10.335384615384614,3.0,11.0,10.335384615384616
13186,2016-11-03,N8U,31.0,116.17,3.8832758620689654,3.0,11.0,3.74741935483871
13194,2016-11-03,R6E,14.0,88.45,6.317857142857142,3.0,11.0,6.317857142857143
13208,2016-11-04,29A,17.0,125.56,7.57,4.0,11.0,7.385882352941176
13217,2016-11-04,FEW,12.0,107.26,8.938333333333333,4.0,11.0,8.938333333333334
13232,2016-11-04,N8U,43.0,171.04,4.072958333333334,4.0,11.0,3.977674418604651
13239,2016-11-04,R6E,14.0,88.91,6.350714285714285,4.0,11.0,6.350714285714285
13253,2016-11-05,29A,11.0,53.77,4.888181818181817,5.0,11.0,4.888181818181819
13262,2016-11-05,FEW,15.0,134.24,9.043214285714285,5.0,11.0,8.949333333333334
13277,2016-11-05,N8U,22.0,78.17,3.982962962962963,5.0,11.0,3.553181818181818
13285,2016-11-05,R6E,10.0,56.56,5.656000000000001,5.0,11.0,5.656000000000001
13298,2016-11-06,29A,5.0,38.38,7.675999999999999,6.0,11.0,7.676
13307,2016-11-06,FEW,12.0,116.01,9.667500000000002,6.0,11.0,9.6675
13318,2016-11-06,N8U,20.0,85.47,4.204999999999999,6.0,11.0,4.2735
13324,2016-11-06,R6E,7.0,32.54,4.6485714285714295,6.0,11.0,4.648571428571429
13338,2016-11-07,29A,6.0,45.51,8.284,7.0,11.0,7.585
13347,2016-11-07,FEW,14.0,128.03,9.144999999999998,7.0,11.0,9.145
13362,2016-11-07,N8U,35.0,123.01,3.6826666666666665,7.0,11.0,3.5145714285714287
13369,2016-11-07,R6E,10.0,79.03,8.371111111111112,7.0,11.0,7.9030000000000005
13382,2016-11-08,29A,6.0,39.1,6.516666666666667,8.0,11.0,6.516666666666667
13391,2016-11-08,FEW,14.0,135.6,9.854615384615384,8.0,11.0,9.685714285714285
13404,2016-11-08,N8U,23.0,80.33,3.6176190476190477,8.0,11.0,3.492608695652174
13412,2016-11-08,R6E,11.0,79.53,7.23,8.0,11.0,7.23
13426,2016-11-09,29A,13.0,43.51,3.591875,9.0,11.0,3.3469230769230767
13432,2016-11-09,FEW,14.0,113.16,8.290384615384616,9.0,11.0,8.082857142857142
13443,2016-11-09,N8U,14.0,60.12,4.257692307692308,9.0,11.0,4.2942857142857145
13450,2016-11-09,R6E,9.0,77.59,8.621111111111112,9.0,11.0,8.621111111111112
13463,2016-11-10,29A,18.0,116.53999999999999,7.387555555555555,10.0,11.0,6.474444444444444
13472,2016-11-10,FEW,3.0,22.63,7.543333333333333,10.0,11.0,7.543333333333333
13486,2016-11-10,N8U,37.0,158.59,4.391470588235294,10.0,11.0,4.286216216216216
13494,2016-11-10,R6E,13.0,124.29,9.56076923076923,10.0,11.0,9.560769230769232
13509,2016-11-11,29A,14.0,93.83,6.47225,11.0,11.0,6.702142857142857
13518,2016-11-11,FEW,15.0,142.14000000000001,9.433846153846153,11.0,11.0,9.476
13532,2016-11-11,N8U,43.0,182.09,4.219210526315789,11.0,11.0,4.234651162790698
13540,2016-11-11,R6E,21.0,195.2,9.295238095238096,11.0,11.0,9.295238095238094
13555,2016-11-12,29A,4.0,30.0,7.495,12.0,11.0,7.5
13561,2016-11-12,FEW,9.0,103.88,12.133750000000001,12.0,11.0,11.542222222222222
13574,2016-11-12,N8U,30.0,109.08,3.644464285714286,12.0,11.0,3.636
13582,2016-11-12,R6E,13.0,75.11,5.777692307692309,12.0,11.0,5.777692307692307
13597,2016-11-13,29A,6.0,23.66,3.982,13.0,11.0,3.9433333333333334
13603,2016-11-13,FEW,10.0,96.49,9.68388888888889,13.0,11.0,9.649
13613,2016-11-13,N8U,18.0,86.84,4.8244444444444445,13.0,11.0,4.8244444444444445
13618,2016-11-13,R6E,8.0,87.49000000000001,10.936250000000001,13.0,11.0,10.936250000000001
13632,2016-11-14,29A,16.0,78.2,5.035714285714286,14.0,11.0,4.8875
13640,2016-11-14,FEW,13.0,145.6,10.757272727272726,14.0,11.0,11.2
13655,2016-11-14,N8U,49.0,196.35999999999999,4.091333333333334,14.0,11.0,4.00734693877551
13662,2016-11-14,R6E,26.0,160.04,6.378541666666666,14.0,11.0,6.155384615384615
13677,2016-11-15,29A,12.0,73.61999999999999,6.634999999999999,15.0,11.0,6.134999999999999
13686,2016-11-15,FEW,11.0,98.03,8.911818181818182,15.0,11.0,8.911818181818182
13701,2016-11-15,N8U,43.0,174.33,4.300694444444444,15.0,11.0,4.054186046511628
13708,2016-11-15,R6E,17.0,128.15,7.538235294117648,15.0,11.0,7.538235294117648
13723,2016-11-16,29A,11.0,67.84,6.6215,16.0,11.0,6.167272727272728
13731,2016-11-16,FEW,11.0,99.94,8.885555555555557,16.0,11.0,9.085454545454546
13746,2016-11-16,N8U,28.0,104.24,3.917307692307692,16.0,11.0,3.722857142857143
13753,2016-11-16,R6E,20.0,132.08,6.787105263157894,16.0,11.0,6.604000000000001
13768,2016-11-17,29A,8.0,44.4,6.1499999999999995,17.0,11.0,5.55
13776,2016-11-17,FEW,12.0,130.81,10.78,17.0,11.0,10.900833333333333
13791,2016-11-17,N8U,41.0,156.06,3.9580263157894744,17.0,11.0,3.8063414634146344
13799,2016-11-17,R6E,17.0,69.52,4.0721875,17.0,11.0,4.089411764705882
13814,2016-11-18,29A,12.0,73.47,6.11,18.0,11.0,6.1225
13823,2016-11-18,FEW,13.0,134.95000000000002,10.109583333333333,18.0,11.0,10.380769230769232
13838,2016-11-18,N8U,56.0,210.08,3.945106382978724,18.0,11.0,3.751428571428572
13846,2016-11-18,R6E,17.0,87.63,5.154705882352941,18.0,11.0,5.154705882352941
13861,2016-11-19,29A,7.0,55.61,7.944285714285714,19.0,11.0,7.944285714285714
13870,2016-11-19,FEW,6.0,62.63,10.438333333333334,19.0,11.0,10.438333333333334
13882,2016-11-19,N8U,26.0,102.89,4.110833333333333,19.0,11.0,3.957307692307692
13889,2016-11-19,R6E,12.0,67.76,5.8131818181818184,19.0,11.0,5.646666666666667
13903,2016-11-20,29A,6.0,41.31,6.885000000000001,20.0,11.0,6.885000000000001
13909,2016-11-20,FEW,10.0,87.97,8.796999999999999,20.0,11.0,8.797
13921,2016-11-20,N8U,24.0,95.28999999999999,4.23175,20.0,11.0,3.9704166666666665
13926,2016-11-20,R6E,11.0,96.59,8.780909090909091,20.0,11.0,8.780909090909091
13940,2016-11-21,29A,5.0,43.03,8.913750000000002,21.0,11.0,8.606
13949,2016-11-21,FEW,10.0,91.77,8.681666666666667,21.0,11.0,9.177
13964,2016-11-21,N8U,35.0,124.33,3.7082812499999998,21.0,11.0,3.552285714285714
13972,2016-11-21,R6E,12.0,74.86,6.197272727272729,21.0,11.0,6.238333333333333
13987,2016-11-22,29A,9.0,42.29,5.146190476190476,22.0,11.0,4.698888888888889
13996,2016-11-22,FEW,8.0,69.08,8.635,22.0,11.0,8.635
14011,2016-11-22,N8U,34.0,133.59,3.867272727272727,22.0,11.0,3.9291176470588236
14019,2016-11-22,R6E,14.0,75.14,5.367142857142858,22.0,11.0,5.367142857142857
14034,2016-11-23,29A,10.0,75.05,7.505,23.0,11.0,7.505
14043,2016-11-23,FEW,9.0,85.74000000000001,9.013124999999999,23.0,11.0,9.526666666666667
14058,2016-11-23,N8U,27.0,118.72,4.425400000000001,23.0,11.0,4.397037037037037
14065,2016-11-23,R6E,29.0,189.05,6.730925925925926,23.0,11.0,6.51896551724138
14079,2016-11-24,29A,2.0,8.52,4.26,24.0,11.0,4.26
14088,2016-11-24,FEW,8.0,77.68,9.71,24.0,11.0,9.71
14102,2016-11-24,N8U,21.0,81.29,4.091754385964912,24.0,11.0,3.870952380952381
14109,2016-11-24,R6E,7.0,28.48,4.0685714285714285,24.0,11.0,4.0685714285714285
14124,2016-11-25,29A,8.0,43.8,5.575714285714286,25.0,11.0,5.475
14133,2016-11-25,FEW,12.0,103.8,8.65,25.0,11.0,8.65
14146,2016-11-25,N8U,40.0,149.14,4.076136363636365,25.0,11.0,3.7284999999999995
14154,2016-11-25,R6E,17.0,128.93,7.566875,25.0,11.0,7.584117647058824
14169,2016-11-26,29A,5.0,32.71,6.542,26.0,11.0,6.542
14177,2016-11-26,FEW,6.0,62.08,10.346666666666666,26.0,11.0,10.346666666666666
14192,2016-11-26,N8U,37.0,153.63,4.371666666666666,26.0,11.0,4.152162162162162
14200,2016-11-26,R6E,23.0,136.93,6.418333333333334,26.0,11.0,5.9534782608695656
14213,2016-11-27,29A,6.0,49.55,8.258333333333335,27.0,11.0,8.258333333333333
14218,2016-11-27,FEW,6.0,60.58,10.096666666666666,27.0,11.0,10.096666666666666
14231,2016-11-27,N8U,22.0,95.16,4.23775,27.0,11.0,4.325454545454545
14237,2016-11-27,R6E,8.0,32.22,4.0275,27.0,11.0,4.0275
14251,2016-11-28,29A,10.0,48.07,4.924444444444444,28.0,11.0,4.807
14260,2016-11-28,FEW,7.0,60.03,8.575714285714286,28.0,11.0,8.575714285714286
14275,2016-11-28,N8U,26.0,93.25,3.6822000000000004,28.0,11.0,3.5865384615384617
14283,2016-11-28,R6E,17.0,80.43,4.731176470588235,28.0,11.0,4.7311764705882355
14298,2016-11-29,29A,10.0,70.0,6.598333333333334,29.0,11.0,7.0
14307,2016-11-29,FEW,8.0,82.41,10.613571428571428,29.0,11.0,10.30125
14322,2016-11-29,N8U,28.0,104.23,3.9530434782608697,29.0,11.0,3.7225
14330,2016-11-29,R6E,12.0,81.55,6.795833333333334,29.0,11.0,6.795833333333333
14345,2016-11-30,29A,5.0,40.09,8.018,30.0,11.0,8.018
14354,2016-11-30,FEW,11.0,118.57,10.493500000000001,30.0,11.0,10.77909090909091
14367,2016-11-30,N8U,33.0,121.38,3.7175000000000002,30.0,11.0,3.678181818181818
14375,2016-11-30,R6E,13.0,97.09,7.908333333333332,30.0,11.0,7.468461538461539
14390,2016-12-01,29A,15.0,77.53,5.6883333333333335,1.0,12.0,5.168666666666667
14399,2016-12-01,FEW,7.0,69.77,9.967142857142857,1.0,12.0,9.967142857142857
14413,2016-12-01,N8U,31.0,120.92,3.862857142857142,1.0,12.0,3.900645161290323
14421,2016-12-01,R6E,15.0,51.94,3.785833333333334,1.0,12.0,3.4626666666666663
14436,2016-12-02,29A,9.0,59.41,6.601111111111112,2.0,12.0,6.601111111111111
14445,2016-12-02,FEW,7.0,74.41,10.629999999999999,2.0,12.0,10.629999999999999
14459,2016-12-02,N8U,50.0,161.33,3.2794074074074073,2.0,12.0,3.2266000000000004
14467,2016-12-02,R6E,12.0,69.98,5.831666666666666,2.0,12.0,5.831666666666667
14482,2016-12-03,29A,15.0,90.14,6.140000000000001,3.0,12.0,6.009333333333333
14490,2016-12-03,FEW,9.0,97.59,10.843333333333332,3.0,12.0,10.843333333333334
14505,2016-12-03,N8U,29.0,103.75999999999999,3.6301785714285715,3.0,12.0,3.5779310344827584
14513,2016-12-03,R6E,15.0,80.25,5.537142857142858,3.0,12.0,5.35
14528,2016-12-04,29A,11.0,77.87,7.079090909090908,4.0,12.0,7.079090909090909
14537,2016-12-04,FEW,10.0,113.36,11.335999999999999,4.0,12.0,11.336
14551,2016-12-04,N8U,32.0,133.6,4.175000000000001,4.0,12.0,4.175
14559,2016-12-04,R6E,22.0,194.55,8.843181818181817,4.0,12.0,8.843181818181819
14574,2016-12-05,29A,18.0,97.56,6.192222222222221,5.0,12.0,5.42
14583,2016-12-05,FEW,15.0,172.27,11.484666666666666,5.0,12.0,11.484666666666667
14597,2016-12-05,N8U,50.0,221.13,4.593636363636365,5.0,12.0,4.4226
14605,2016-12-05,R6E,28.0,216.73000000000002,9.720055555555556,5.0,12.0,7.740357142857143
14618,2016-12-06,29A,4.0,33.769999999999996,9.111666666666666,6.0,12.0,8.442499999999999
14624,2016-12-06,FEW,4.0,28.16,7.04,6.0,12.0,7.04
14638,2016-12-06,N8U,14.0,47.25,3.569545454545455,6.0,12.0,3.375
14645,2016-12-06,R6E,5.0,32.62,6.523999999999999,6.0,12.0,6.523999999999999
14657,2016-12-07,29A,15.0,97.63,6.513928571428571,7.0,12.0,6.508666666666667
14666,2016-12-07,FEW,12.0,127.88,11.067727272727273,7.0,12.0,10.656666666666666
14681,2016-12-07,N8U,39.0,174.0,4.415555555555556,7.0,12.0,4.461538461538462
14689,2016-12-07,R6E,11.0,57.86,5.259999999999999,7.0,12.0,5.26
14703,2016-12-08,29A,10.0,54.14,5.414,8.0,12.0,5.414
14712,2016-12-08,FEW,10.0,110.89,11.088999999999999,8.0,12.0,11.089
14727,2016-12-08,N8U,30.0,126.71,4.362037037037037,8.0,12.0,4.2236666666666665
14735,2016-12-08,R6E,11.0,122.53,11.139090909090909,8.0,12.0,11.139090909090909
14750,2016-12-09,29A,13.0,64.24,5.667999999999999,9.0,12.0,4.941538461538461
14759,2016-12-09,FEW,6.0,60.28,10.046666666666667,9.0,12.0,10.046666666666667
14774,2016-12-09,N8U,29.0,141.18,4.963333333333333,9.0,12.0,4.868275862068966
14782,2016-12-09,R6E,16.0,104.88000000000001,7.538846153846153,9.0,12.0,6.555000000000001
14797,2016-12-10,29A,11.0,57.67,5.242727272727273,10.0,12.0,5.242727272727273
14806,2016-12-10,FEW,10.0,129.93,12.323333333333334,10.0,12.0,12.993
14821,2016-12-10,N8U,38.0,125.9,3.680999999999999,10.0,12.0,3.3131578947368423
14828,2016-12-10,R6E,17.0,121.1,7.3303125,10.0,12.0,7.123529411764705
14843,2016-12-11,29A,10.0,55.36,5.536,11.0,12.0,5.536
14851,2016-12-11,FEW,8.0,103.47,12.833571428571428,11.0,12.0,12.93375
14862,2016-12-11,N8U,33.0,143.43,4.248160919540229,11.0,12.0,4.346363636363637
14869,2016-12-11,R6E,20.0,180.78,9.402894736842105,11.0,12.0,9.039
14883,2016-12-12,29A,10.0,80.18,8.045,12.0,12.0,8.018
14892,2016-12-12,FEW,12.0,96.91,8.075833333333334,12.0,12.0,8.075833333333334
14907,2016-12-12,N8U,43.0,165.26,3.7968918918918924,12.0,12.0,3.8432558139534883
14915,2016-12-12,R6E,24.0,162.79,6.782916666666666,12.0,12.0,6.782916666666666
14929,2016-12-13,29A,12.0,78.50999999999999,7.320555555555556,13.0,12.0,6.5424999999999995
14938,2016-12-13,FEW,12.0,123.25,10.647727272727273,13.0,12.0,10.270833333333334
14953,2016-12-13,N8U,42.0,170.93,4.2087142857142865,13.0,12.0,4.069761904761905
14960,2016-12-13,R6E,13.0,89.57,6.990416666666667,13.0,12.0,6.89
14973,2016-12-14,29A,21.0,133.85999999999999,7.394285714285714,14.0,12.0,6.374285714285714
14982,2016-12-14,FEW,14.0,153.02,11.44318181818182,14.0,12.0,10.930000000000001
14997,2016-12-14,N8U,52.0,225.17000000000002,4.521521739130434,14.0,12.0,4.330192307692308
15005,2016-12-14,R6E,13.0,75.7,6.3527272727272734,14.0,12.0,5.823076923076924
15020,2016-12-15,29A,15.0,117.27,7.803846153846154,15.0,12.0,7.818
15029,2016-12-15,FEW,12.0,111.92,9.555454545454545,15.0,12.0,9.326666666666666
15044,2016-12-15,N8U,66.0,274.91,4.407324561403509,15.0,12.0,4.165303030303031
15052,2016-12-15,R6E,22.0,175.93,7.996818181818182,15.0,12.0,7.996818181818182
15067,2016-12-16,29A,18.0,86.75,5.579285714285715,16.0,12.0,4.819444444444445
15076,2016-12-16,FEW,19.0,215.05,11.34,16.0,12.0,11.31842105263158
