,Date,SKU_Category,Quantity,Sales_Amount,item_price,day,month,price
9650,2016-08-14,R6E,10.0,76.94,7.694,14.0,8.0,7.694
9662,2016-08-15,29A,5.0,28.61,5.722,15.0,8.0,5.7219999999999995
9671,2016-08-15,FEW,12.0,110.74000000000001,9.228333333333333,15.0,8.0,9.228333333333333
9685,2016-08-15,N8U,24.0,104.77,4.3563636363636355,15.0,8.0,4.3654166666666665
9693,2016-08-15,R6E,28.0,142.83,5.724565217391305,15.0,8.0,5.101071428571429
9708,2016-08-16,29A,15.0,67.56,5.384242424242425,16.0,8.0,4.5040000000000004
9717,2016-08-16,FEW,9.0,75.06,8.615625000000001,16.0,8.0,8.34
9732,2016-08-16,N8U,42.0,207.31,4.991052631578948,16.0,8.0,4.935952380952381
9740,2016-08-16,R6E,11.0,71.08,6.461818181818182,16.0,8.0,6.461818181818182
9754,2016-08-17,29A,6.0,40.44,6.739999999999999,17.0,8.0,6.739999999999999
9763,2016-08-17,FEW,6.0,55.44,9.24,17.0,8.0,9.24
9776,2016-08-17,N8U,32.0,129.16,4.404464285714286,17.0,8.0,4.03625
9783,2016-08-17,R6E,13.0,82.07000000000001,6.313076923076922,17.0,8.0,6.313076923076924
9798,2016-08-18,29A,23.0,109.16,5.765444444444445,18.0,8.0,4.746086956521739
9807,2016-08-18,FEW,13.0,101.52,8.01125,18.0,8.0,7.809230769230769
9822,2016-08-18,N8U,30.0,118.56,4.0159259259259255,18.0,8.0,3.952
9829,2016-08-18,R6E,18.0,82.31,4.716764705882353,18.0,8.0,4.572777777777778
9844,2016-08-19,29A,12.0,96.62,8.9745,19.0,8.0,8.051666666666668
9853,2016-08-19,FEW,16.0,184.66,11.69346153846154,19.0,8.0,11.54125
9866,2016-08-19,N8U,34.0,161.26000000000002,4.682580645161291,19.0,8.0,4.742941176470588
9874,2016-08-19,R6E,23.0,149.29,6.490869565217391,19.0,8.0,6.490869565217391
9886,2016-08-20,29A,13.0,77.45,6.460909090909092,20.0,8.0,5.957692307692308
9893,2016-08-20,FEW,4.0,44.949999999999996,11.2375,20.0,8.0,11.237499999999999
9905,2016-08-20,N8U,18.0,87.35000000000001,5.017941176470589,20.0,8.0,4.852777777777778
9913,2016-08-20,R6E,5.0,60.24,12.047999999999998,20.0,8.0,12.048
9925,2016-08-21,29A,5.0,18.45,4.761111111111111,21.0,8.0,3.69
